,auto_brand_en,item_kind_name_en,car_year,car_mileage,car_price,source
10686,Mercedes-Benz,C-Class Sedan,2008,120000,438000,8891
10687,Mercedes-Benz,C-Class Sedan,2017,80000,1298000,8891
10688,Toyota,Innova,2012,75000,0,8891
10689,Mercedes-Benz,C-Class Sedan,2018,20000,1580000,8891
10690,Mercedes-Benz,C-Class Sedan,2018,24000,1580000,8891
10691,Nissan,Grand Livina,2011,24000,160000,8891
10692,BMW,M3,2017,30000,2588000,8891
10693,Mercedes-Benz,E-Class Sedan,2016,80000,0,8891
10694,Mitsubishi,Zinger,2016,74000,328000,8891
10695,Toyota,Corolla Altis,2015,99000,360000,8891
10696,BMW,1-Series Hatchback,2014,48000,508000,8891
10697,Mercedes-Benz,E-Class Sedan,2012,150000,688000,8891
10698,Nissan,Tiida,2011,62000,208000,8891
10699,BMW,3-Series Sedan,2007,150000,272000,8891
10700,Lexus,NX,2015,60000,948000,8891
10701,Mercedes-Benz,C-Class Cabriolet,2015,150000,1158000,8891
10702,Nissan,Grand Livina,2009,247000,148000,8891
10703,Volkswagen,Golf,2017,67000,638000,8891
10704,Mitsubishi,Colt Plus,2011,110000,95000,8891
10705,Toyota,Camry Hybrid,2013,112000,318000,8891
10706,BMW,M5,2018,40000,4180000,8891
10707,Mercedes-Benz,CLA,2015,90000,0,8891
10708,BMW,2-Series Gran Coupe,2020,3000,0,8891
10709,Hyundai,Santa Fe,2011,250000,0,8891
10710,Honda,Fit,2018,51000,518000,8891
10711,Maserati,Levante,2017,30000,2780000,8891
10712,Nissan,Sentra,2001,240000,58000,8891
10713,BMW,3-Series Sedan,2014,110000,788000,8891
10714,BMW,X6,2015,100000,1680000,8891
10715,Toyota,Prius C,2017,140000,448000,8891
10716,Subaru,Legacy Wagon,2010,170000,498000,8891
10717,Honda,CR-V,2018,30000,828000,8891
10718,Mercedes-Benz,CLA,2014,128000,1020000,8891
10719,Toyota,Corolla Altis,2012,130000,338000,8891
10720,Toyota,RAV4,2015,140000,558000,8891
10721,Lexus,IS,2014,110000,700000,8891
10722,Honda,CR-V,2015,70000,568000,8891
10723,Nissan,Tiida,2008,225000,218000,8891
10724,Nissan,Tiida,2012,124000,308000,8891
10725,Lexus,ES,2018,40000,1198000,8891
10726,Volkswagen,Tiguan,2018,62000,988000,8891
10727,Toyota,Wish,2016,62000,468000,8891
10728,Mercedes-Benz,GLC Coupe,2019,20000,2458000,8891
10729,Lexus,IS,2019,30000,1250000,8891
10730,BMW,5-Series Sedan,2010,120000,700000,8891
10731,Mitsubishi,Colt Plus,2012,110000,235000,8891
10732,Toyota,Camry,2008,175000,268000,8891
10733,Lexus,RX,2016,80000,1398000,8891
10734,Toyota,C-HR,2017,23000,788000,8891
10735,Suzuki,Grand Vitara,2007,140000,198000,8891
10736,Mitsubishi,Lancer,2004,220000,98000,8891
10737,Toyota,Camry,2011,170000,248000,8891
10738,Mitsubishi,Grand Lancer,2017,109000,378000,8891
10739,Ford,Focus,2018,30000,580000,8891
10740,Hyundai,Porter,2016,130000,328000,8891
10741,Toyota,Previa,2010,99000,448000,8891
10742,Honda,CR-V,2015,77000,598000,8891
10743,Toyota,86,2013,150000,368000,8891
10744,BMW,X4,2019,12000,0,8891
10745,Mazda,3,2011,200000,288000,8891
10746,Toyota,C-HR,2018,48000,758000,8891
10747,Ford,Focus,2012,240000,250000,8891
10748,Mazda,3,2017,11000,668000,8891
10749,Mitsubishi,Colt Plus,2017,93000,308000,8891
10750,Honda,CR-V,2013,165000,488000,8891
10751,Nissan,Livina,2018,21000,446000,8891
10752,Subaru,XV,2015,78000,480000,8891
10753,Peugeot,3008,2014,108000,428000,8891
10754,Nissan,Sentra,2013,86000,266000,8891
10755,Toyota,Corolla Altis,2020,15000,666000,8891
10756,Luxgen,S5 Turbo,2012,94000,198000,8891
10757,BMW,3-Series Sedan,2015,74000,919000,8891
10758,Toyota,Corolla Altis,2018,114000,418000,8891
10759,Suzuki,Swift,2007,200000,188000,8891
10760,CMC,Veryca廂車,2005,190000,165000,8891
10761,Toyota,Wish,2012,119000,378000,8891
10762,Mazda,CX-3,2019,10000,630000,8891
10763,Porsche,Panamera,2014,54000,1780000,8891
10764,Honda,Civic,2010,130000,288000,8891
10765,Mitsubishi,Canter,2017,185000,800000,8891
10766,Luxgen,7 MPV,2011,127000,308000,8891
10767,Mitsubishi,Savrin,2007,130000,158000,8891
10768,Nissan,Sentra,2013,110000,278000,8891
10769,Toyota,Previa,2012,135000,650000,8891
10770,Mercedes-Benz,GLC Coupe,2021,120,3080000,8891
10771,Volvo,XC60,2012,90000,448000,8891
10772,Mercedes-Benz,S-Class Sedan,2007,130000,0,8891
10773,Nissan,Sentra,2013,92000,318000,8891
10774,Toyota,Corolla Altis,2015,81000,468000,8891
