,car_brand,car_model,car_year,car_mileage,car_price,source
289,LEXUS,RX SERIES RX 200T,2017,24181 ,1730000,UsedCar
290,BENZ,GLA-CLASS GLA250,2016,35000 ,1260000,UsedCar
291,BENZ,CLA-CLASS CLA250,2017,52000 ,1350000,UsedCar
292,LUXGEN,U6 1.8,2019,38093 ,570000,UsedCar
293,PORSCHE,PANAMERA 2.9,2018,12300 ,5980000,UsedCar
294,BMW,X1 SERIES X1 SDRIVE,2020,3000 ,1530000,UsedCar
295,BENZ,GLC-CLASS GLC 300,2019,31727 ,1690000,UsedCar
296,BENZ,GLC-CLASS GLC 300,2020,3301 ,2290000,UsedCar
297,BENZ,GLB-CLASS GLB250,2020,3158 ,2330000,UsedCar
298,BENZ,C-CLASS C300,2019,38442 ,1790000,UsedCar
299,BMW,3 SERIES 328,2016,24915 ,1290000,UsedCar
300,BENZ,C-CLASS C300,2018,17229 ,1530000,UsedCar
301,BENZ,C-CLASS C300,2017,39960 ,1490000,UsedCar
302,TOYOTA,PRIUS 1.8,2016,48305 ,780000,UsedCar
303,BENZ,S-CLASS COUPE S500 C,2016,66000 ,3380000,UsedCar
304,HONDA,HR-V 1.8,2018,30000 ,620000,UsedCar
305,TOYOTA,COROLLA 1.8,1999,200000 ,30000,UsedCar
306,TOYOTA,ALTIS 1.8,2016,100150 ,400000,UsedCar
307,MITSUBISHI,LANCER FORTIS 1.8,2017,34072 ,420000,UsedCar
308,TOYOTA,WISH 2.0,2016,50000 ,530000,UsedCar
309,BENZ,E-CLASS E250,2013,80000 ,850000,UsedCar
310,TOYOTA,CAMRY 2.5,2013,159275 ,300000,UsedCar
311,BENZ,C-CLASS C250,2012,152120 ,660000,UsedCar
312,NISSAN,TEANA 2.0,2015,102679 ,280000,UsedCar
313,VW,GOLF 1.6,2012,126082 ,280000,UsedCar
314,SKODA,FABIA 1.0 TSI,2018,50000 ,480000,UsedCar
315,BENZ,C-CLASS ESTATE C63 T AMG,2015,12345 ,2660000,UsedCar
316,BENZ,E-CLASS E300,2014,90000 ,1230000,UsedCar
317,NISSAN,TIIDA 1.6,2015,98606 ,320000,UsedCar
318,TOYOTA,PREVIA 2.4,2010,96923 ,650000,UsedCar
319,MAZDA,3 2.0,2019,70000 ,700000,UsedCar
320,TOYOTA,TERCEL 1.5,1995,234276 ,40000,UsedCar
321,BENZ,CLA-CLASS CLA45 AMG,2015,96418 ,1590000,UsedCar
322,BENZ,C-CLASS COUPE C300 COUPE,2017,41460 ,1580000,UsedCar
323,BMW,4 SERIES GRAN COUPE 428I,2016,48000 ,1360000,UsedCar
324,DAIHATSU,TERIOS 1.5,2014,120000 ,410000,UsedCar
325,BMW,1 SERIES 120,2018,60000 ,1020000,UsedCar
326,TOYOTA,ALTIS 1.8,2015,50000 ,390000,UsedCar
327,AUDI,A4 1.8,2009,300000 ,280000,UsedCar
328,TOYOTA,ALTIS 1.8,2005,170000 ,170000,UsedCar
329,TOYOTA,ALTIS 1.8,2012,130000 ,290000,UsedCar
330,MITSUBISHI,LANCER FORTIS 1.8,2011,110000 ,240000,UsedCar
331,NISSAN,LIVINA 1.6,2012,63002 ,250000,UsedCar
332,BENZ,GLC-CLASS GLC 300,2016,61000 ,1450000,UsedCar
333,BENZ,GLC-CLASS GLC 300,2018,32000 ,1780000,UsedCar
334,BENZ,GLC-CLASS GLC 300,2018,41000 ,1750000,UsedCar
335,BENZ,E-CLASS E300,2018,25000 ,1890000,UsedCar
336,BENZ,E-CLASS E300,2017,40000 ,1680000,UsedCar
337,BENZ,E-CLASS E300,2017,32000 ,1950000,UsedCar
338,BENZ,E-CLASS E300,2017,34000 ,1780000,UsedCar
339,BENZ,E-CLASS E300,2017,36000 ,1690000,UsedCar
340,BENZ,E-CLASS E300,2017,34000 ,1730000,UsedCar
341,MITSUBISHI,COLT PLUS IO 1.6,2013,91241 ,250000,UsedCar
342,BMW,7 SERIES 740,2018,52000 ,2350000,UsedCar
343,FORD,KUGA 1.5,2020,8483 ,920000,UsedCar
344,MAZDA,3 2.0,2018,29820 ,680000,UsedCar
345,AUDI,S6 4.0,2013,60000 ,1880000,UsedCar
346,AUDI,RS6 4.0,2017,83792 ,3980000,UsedCar
347,BENZ,CLA-CLASS CLA250,2021,110 ,2380000,UsedCar
348,BENZ,GLC-CLASS GLC 250,2017,120000 ,1780000,UsedCar
349,BENZ,C-CLASS C300,2017,65000 ,1520000,UsedCar
350,MINI,COOPER S 2.0,2021,6172 ,2580000,UsedCar
351,BMW,4 SERIES GRAN COUPE 428I,2015,63679 ,1220000,UsedCar
352,BENZ,GLC-CLASS GLC 300,2019,64388 ,2060000,UsedCar
353,BENZ,CLA-CLASS CLA45 AMG,2014,79064 ,1380000,UsedCar
354,BMW,I SERIES I3,2018,16427 ,1380000,UsedCar
355,VW,TIGUAN 2.0,2018,88720 ,1060000,UsedCar
356,BENZ,CLA-CLASS CLA250,2017,58000 ,1380000,UsedCar
357,PORSCHE,MACAN 2.0,2017,54257 ,2120000,UsedCar
358,BMW,X6 SERIES X6 XDRIVE,2020,8000 ,3780000,UsedCar
359,BENZ,C-CLASS C300,2015,34037 ,1280000,UsedCar
360,BMW,3 SERIES 340I,2020,14500 ,2780000,UsedCar
361,LEXUS,ES SERIES ES 200,2017,84630 ,970000,UsedCar
362,BENZ,CLS-CLASS CLS55 AMG,2019,37275 ,3680000,UsedCar
363,BENZ,GLE-CLASS 43 AMG,2018,40741 ,2520000,UsedCar
364,BMW,4 SERIES GRAN COUPE 428I,2016,48973 ,1330000,UsedCar
365,BENZ,GLC-CLASS GLC 300,2020,42321 ,1870000,UsedCar
366,BENZ,C-CLASS C300,2016,63225 ,1360000,UsedCar
367,BENZ,C-CLASS C43 AMG,2018,9191 ,2250000,UsedCar
368,BENZ,GLC-CLASS GLC 300,2019,39896 ,1730000,UsedCar
369,BENZ,GLC-CLASS GLC 300,2021,218 ,2990000,UsedCar
370,BMW,5 SERIES 540,2017,43456 ,1890000,UsedCar
371,BENZ,CLA-CLASS CLA250,2016,57793 ,1290000,UsedCar
372,BMW,5 SERIES 540,2017,40443 ,1890000,UsedCar
373,BMW,6 SERIES GRAN COUPE 640,2015,68000 ,1490000,UsedCar
374,BENZ,E-CLASS E43 AMG,2018,34918 ,2720000,UsedCar
375,BENZ,E-CLASS E53,2019,13063 ,3380000,UsedCar
376,BENZ,A-CLASS A250,2019,19712 ,1620000,UsedCar
377,BENZ,E-CLASS E53,2019,28334 ,3380000,UsedCar
378,PORSCHE,MACAN 2.0,2018,68728 ,2280000,UsedCar
